candidate,party,receipts,disbursements,ind_contributors
"BYRNE, LESLIE L",DEM,0,330822.04,0
"CABILDO, MARIA",DEM,220294.46,215275.17,214998.46
"CADIEN, TAWANA W.",DEM,2423.13,11400.58,1413.13
"CAFARO, CAPRI",DEM,522.15,915.53,0
"CAFORIO, BRYAN",DEM,1217418.32,1220320.16,1014668.02
"CAGE, ERICKE",DEM,7807.1,201.34,4000
"CAIN, BRETT BUTLER",DEM,2690,2907.2,2690
"CAIN, EMILY",DEM,24692.88,44059.83,0
"CAIN, HERMAN",REP,0,940,0
"CAIOZZO, SALVATORE",REP,4960,3525.33,1860
"CALDERON, ROZA I",DEM,97376.41,32122.37,42376.41
"CALDWELL, RANDY",REP,176835.5,35518,30688
"CALIGIURI, GINNY",REP,61852.15,61852.15,45714.94
"CALLAHAN, DAVID ALAN",REP,17832,18513,7632
"CALLAHAN, MARK ALLEN",REP,35313.09,35313.09,26003.99
"CALLAHAN, MARK ALLEN",REP,0,2283,0
"CALONE, DAVID L",OTH,2506.11,13250.33,1100
"CALVERT, KENNETH S",REP,1556405.66,1620855.36,844367.63
"CALVEY, KEVIN",REP,0,0,0
"CAMACHO, FELIX P GOVERNOR",REP,0,9191.7,0
"CAMBERS, KRESS FRANKLIN",REP,11246.24,8494.85,9422.35
"CAMP, DAVID LEE",REP,54646.67,49378.98,0
"CAMPA-NAJJAR, AMMAR",DEM,4079157.61,4076167.49,3799707.95
"CAMPBELL, ANTONO WADE",REP,197638.11,203942.35,178863.5
"CAMPBELL, DANIEL C MR.",REP,3775,1552.99,3775
"CAMPBELL, FOSTER LONNNIE II",DEM,110426,121582,72600
"CAMPBELL, JAPHETH RAY",LIB,1785,1783.78,975
"CAMPBELL, MATTHEW",DEM,0,0,0
"CAMPBELL, TOM",REP,1201139.87,1201058.63,453329.87
"CAMPER, CANDANCE MS",REP,2498.45,2498.45,2498.45
"CAMPOVERDI, ALEJANDRA",DEM,251407.76,353778.29,240804.24
"CANALES, JUDITH ANN",DEM,39055.05,35129,26159
"CANNON, CHRISTOPHER B HON.",REP,0,0,0
"CANO, FERNANDO",DEM,45479.12,45697.79,12911.68
"CANON, DANIEL J",DEM,456072.32,451606.84,440412.03
"CANOVA, TIMOTHY A.",IND,624386,640574.17,530348.85
"CANSECO, FRANCISCO 'QUICO'",REP,22361.49,22361.49,22125
"CANTU, JAMES",REP,40000,40000,0
"CANTWELL, MARIA",DEM,9399420.74,9635913.14,8998701.26
"CAPITO, SHELLEY MOORE MS",REP,673052.15,382759.45,180446
"CAPPIELLO, DAVID J",REP,0,0,0
"CAPPS, LOIS G",DEM,1168.25,22647.95,342.58
"CAPUANO, MICHAEL E",DEM,2004324.36,2761745.91,1075368.11
"CARAWAY, BARBARA LEN MALLORY",DEM,80311.11,80490.8,75665
"CARBAJAL, SALUD",DEM,2759810.4,2077611.91,1969094.13
"CARDARELLI, MARCELO GABRIEL",REP,0,0,0
"CARDENAS, BEATRICE I",REP,2273.4,2273.4,2173.4
"CARDENAS, TONY",DEM,1523845.68,1483992.48,613147.67
"CARDIN, BENJAMIN L",DEM,4067153.24,3509769.73,2444480.75
"CARDWELL, CHARLES PATTESON IV",REP,0,122.12,0
"CARGAS, JAMES P",DEM,98636.51,105053.52,63460.51
"CARLSON, KRISTEN",DEM,2108840.58,2101885.58,1850002.53
"CARMONA, ARTURO",DEM,155331.16,244941.43,142631.16
"CARMONA, RICHARD",DEM,0,26478,0
"CARNEY, JOHN",DEM,0,219706.38,0
"CARPENTER, CRYSTAL ELAINE",NPA,0,0,0
"CARPER, THOMAS R",DEM,3236955.45,3121074.42,1260577.33
"CARR, BOB",REP,4042,4039,1635
"CARR, ELAN S.",REP,1.44,250,0
"CARR, JOE",REP,0,0,0
"CARRIGAN, SEAN J MR.",DEM,151953.41,164293.52,123706.33
"CARRILLO DONO, WENDY MARIA",DEM,151762.68,200570.46,145548.88
"CARRILLO, JOHN RENE",DEM,3220,0,3220
"CARROLL, JERRY LEON",NNE,160,160,0
"CARROLL, JERRY LEON",OTH,180,180,0
"CARROLL, MORGAN",DEM,250,26209.48,250
"CARSON, ANDRE",DEM,996033.73,968883.92,444422.89
"CARSON, BENJAMIN S SR MD",REP,15148.48,125732.19,0
"CARSON, BRAD R",DEM,0,0,0
"CARTER, EARL LEROY",REP,2093065.4,1471407.53,943035.72
"CARTER, JOHN R. REP.",REP,1820252.88,1968957.43,821996.59
"CARTER, PATRICK",REP,9538.83,8295.37,3337.97
"CARTER, WILLIE FELIX",DEM,7686,7733,305
"CARTWRIGHT, MATT",DEM,2432562.32,2563832.07,1320609.26
"CASARA, DANIEL",REP,30802.77,30802.77,23302.77
"CASAS, MASON",DEM,902.72,488.41,0
"CASE, EDWARD",DEM,563845.39,482824.33,338209.35
"CASEY, ROBERT P JR",DEM,17816254.19,18934799.74,13224847.78
"CASEY, THOMAS P",DEM,0,0,0
"CASPERSON, TOM",REP,14231,1378.99,8500
"CASSIDY, WILLIAM",REP,2794569.25,1305110.16,1974308
"CASTALDO, RICHARD MICHAEL",LIB,20245.69,20666.56,190
"CASTEN, SEAN",DEM,6439711.53,6362182.45,5185560.79
"CASTILLO, DAVID B",REP,57.49,490.6,0
"CASTILLO, HECTOR DR.",REP,0,0,0
"CASTILLO, LEE MR",DEM,27151,25997,24537.87
"CASTLE, DARRELL LANE",CON,0,4200.94,0
"CASTOR, KATHY",DEM,762448.55,663486.27,359346
"CASTRICONE, DAN",REP,0,10,0
"CASTRO, JOAQUIN",DEM,956681.17,955292.8,412756.83
"CASTRO, JULIAN",DEM,220387.81,17877.31,213387.81
"CATES, CHRISTOPHER U MD",REP,0,0,0
"CAUSEY, CHAD",DEM,24473.4,25673.4,0
"CAVANAUGH, KEVIN",REP,11164.31,11164.31,10192.31
"CAVASSO, CAMPBELL",REP,156883.78,155400.37,128723.78
"CEGAVSKE, BARBARA",REP,0,0,0
"CERILLI, GINA DOMENICA",DEM,17160,17160,17160
"CHABOT, PAUL R DR.",REP,5076.87,6606.21,1074
"CHABOT, STEVE",REP,1949961.72,3026091.86,1017436.84
"CHADWICK, GLORIA",DEM,32687.63,32687.63,21187.63
"CHAMBLISS, C SAXBY",REP,5523,91568,0
"CHAN HODGES, SHAY",DEM,15.78,202.76,0
"CHANDLER, A.B. III",DEM,0,10298.96,0
"CHANDLER, ALEXANDRA ELEANOR",DEM,151324.26,145037.53,143778.29
"CHANE, JONATHAN",DEM,2568.9,6846.01,25
"CHAPMAN, JOHN C",REP,13300,13300,0
"CHAPPELLE-NADAL, MARIA",DEM,0,0,0
"CHARBONNEAU, MARY JEAN",IND,383.39,255,0
"CHATLOS, ROBERT",DEM,3015,2800,1015
"CHAUNCEY, SHELLY WILSON",DEM,30817.2,31939.61,24238
"CHAVEZ, ANN E",DEM,21077.41,21077.41,16731.41
"CHAVEZ, NORMA PRISCILLA MS.",DEM,13954,14621.46,3876
"CHAVEZ, ROCKY",REP,425255.86,425255.86,141777
"CHAVEZ, ROCKY",REP,0,0,0
"CHEADER, ROBERT NEIL",IND,50,55,50
"CHEN, JAY",DEM,385047.55,310332,186141.55
"CHENEY, CAROLE",DEM,350684.28,348530.66,346404.48
"CHENEY, ELIZABETH MRS.",REP,867840.34,715739.91,332730.22
"CHERFILUS-MCCORMICK, SHEILA",DEM,39740.27,39164.27,18553.74
"CHERNY, DIMITRI",REP,1194,7000,1194
"CHESSER, GREGORY",REP,13589.8,13760.74,13589.8
"CHILDS, VIVIAN LOUISE",REP,0,0,0
"CHILLARA, SRIDHAR",REP,0,0,0
"CHIN, DOUG",DEM,604230.6,597273.06,570025.7
"CHIRINO, ANGIE",REP,57344.58,54075.89,57344.58
"CHO, ROY",DEM,2722,1645.9,2722
"CHOUDHURY, MIZANUR",DEM,35412.74,43443.84,34662.74
"CHRIN, JOHN R",REP,2989012.26,2985347.94,406508.58
"CHRISTIAN, DAVID",REP,0,171,0
"CHRISTIANA, JAMES JOSEPH III",REP,302403.96,300377.02,250419
"CHRISTIE, CHRISTOPHER J",REP,33500,61156.58,33500
"CHRISTIE, JENNIFER",DEM,4605,2410.95,2600
"CHRISTINA, PREJEAN",DEM,37554.46,37554.46,37554.46
"CHRISTOPHER, WARREN",DEM,0,0,0
"CHU, JUDY",DEM,1401841.6,937483.08,806815.28
"CIARDULLO, JOSEPH JOHN",REF,17014.33,16942.03,10705
"CICILLINE, DAVID N",DEM,1595160.52,1630964.09,1110586.71
"CIMBRELO, WILLIAM E",DEM,54842.26,42134.53,23762.26
"CINO, MICHAEL J.",REP,0,0,0
"CISNEROS, GILBERT",DEM,12265194.02,12183755.2,2179631.66
"CLARK, ANTHONY",DEM,91307.37,91307.37,84751.13
"CLARK, BRITTANY LAUREN",PPY,5000,6243,0
"CLARK, KATHERINE",DEM,1492081.45,1425350.68,769650.34
"CLARK, MIKE",DEM,17365.81,18004.14,16827.56
"CLARK, TARRYL LYNN",DEM,2504.86,6484,0
"CLARKE, HANSEN",DEM,0,0,0
"CLARKE, YVETTE",DEM,1092047.31,1111543.25,457381.67
"CLARKSON, GAVIN",REP,182336,182336.44,168186
"CLAWSON, CURTIS J",REP,308.98,101941.48,0
"CLAY, WILLIAM LACY JR",DEM,663728.62,709121.11,84385.85
"CLEARY, BRENDA LEWIS",DEM,0,4175.37,0
"CLEAVER, EMANUEL II",DEM,1172169.66,1156848.57,310673.91
"CLEEK, N EUGENE MD",REP,539.21,2519.19,0
"CLEGG, DAVID J",DEM,793292.76,767248.34,249265.5
"CLEMENTS, PAUL COLIN",DEM,292478.79,299187.08,280278.6
"CLEVELAND, HOSEA N",DEM,17854.6,15182.54,6556
"CLIFFORD, DAVID",REP,25680.4,21295.08,14856.4
"CLIFTON, TIRELL ALEXANDER MAXWELL REV. DR. I",DEM,0,429.99,0
"CLINE, BENJAMIN LEE",REP,999245.1,980497.57,685191.1
"CLINTON, HILLARY RODHAM",DEM,5333,3425.41,0
"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",DEM,5938097.9,5645941,0
"CLOUD, MICHAEL",REP,746292.27,688599.86,546134.48
"CLYBURN, JAMES E.",DEM,1992933.08,2004772.84,270650.27
"COBB, ALAN EARL",REP,150369.61,150369.61,147072.13
"COBB, TEDRA LYNNE MS.",DEM,1547983.57,1508662.13,1434272.76
"COBERT, MITCHELL",DEM,132391.7,132391.7,80448.56
"COCHRAN, THAD",REP,65849,113552,15123
"COCKBURN, LESLIE",DEM,3538321.62,3530910.19,3123058.15
"CODAY, ARTHUR JR MD",REP,24673.5,23205.64,24673.5
"COFFAY, MATT",DEM,52888.28,52888.28,52788.28
"COFFMAN, MIKE REP.",REP,3807320.48,3823933.07,2267602.09
"COFFMAN, ROBERT (BOB) PAUL",DEM,3601,6800,3601
"COHEN, RONALD H",REP,3631,3590,0
"COHEN, STEPHEN IRA",DEM,532415.26,408226.66,158161.41
"COHN, ALAN MICHAEL",DEM,0,135,0
"COKER, ADAM",DEM,71637.95,72022.4,70090.5
"COLBERT BUSCH, ELIZABETH",DEM,124.18,18141.54,0
"COLE, DAVID HAGERTY",DEM,3319.85,3328,15
"COLE, ERIN",DEM,61508.6,61508.6,37127.6
"COLE, TOM",REP,1951079.15,1995074.47,885354.19
"COLEMAN, ANDY",REP,412018.14,393137.62,375432.18
"COLEMAN, BONNIE WATSON",DEM,916386.21,846026.64,476828.45
"COLEMAN, LINDA",DEM,1727747.61,1616405.72,1371252.78
"COLEMAN, LYNN CARNELL",DEM,20697.07,23717.26,0
"COLLIAS, GINA ROCKEY",REP,31416.7,31311.9,26416.7
"COLLIER, ERIN",DEM,211153.96,211153.96,198830.05
"COLLINS, CHRISTOPHER C",REP,1321298.41,1816058.98,398618.83
"COLLINS, DOUGLAS ALLEN",REP,1415137.02,758333.4,493442.35
"COLLINS, JOE EDWARD III",MPP,22700,23100,0
"COLLINS, MICHAEL A JR",REP,0,0,0
"COLLINS, SUSAN M",REP,2646333.55,955060.97,1974088.55
"COLTON, KEITH C",REP,7000,6888,0
"COLVIN, JESSE",DEM,1876162.65,1807064.53,1786516.48
"COLYER, JEFFREY",REP,0,0,0
"COMBEE, NEIL",REP,217665,217577.48,205165
"COMBS, GWENDOLYNN MILLEN MRS.",DEM,33934.76,31979.38,32035.36
"COMEGYS, CHRISTOPHER SCOTT",DEM,7859,3686.2,1380
"COMER, JAMES",REP,721796.1,637459.1,269763
"COMER, ROBERT D",REP,0,17747.63,0
"COMSTOCK, BARBARA",REP,6426217.89,6456797.13,3912428.7
"CONAWAY, MICHAEL HONORABLE",REP,2216759.4,2483969.68,886573.09
"CONAWAY, ROBERT DEAN",DEM,43,47,0
"CONLON, GREG",REP,804,898,0
"CONNELLY, CHAD",REP,258721,258721,230521
"CONNER, PHILLIP DR",DEM,183994.26,181055.06,47598.94
"CONNOLLY, GERALD EDWARD",DEM,2078358.65,1672905.46,1137094.96
"CONNORS, THOMAS WILLIAM",IND,0,696,0
"CONOVER, RODNEY LEE",REP,0,0,0
"CONTRERAS, JANET L",REP,0,0,0
"CONYERS, IAN",DEM,212777.5,212562.28,177855.83
"CONYERS, JOHN III",DEM,3100,3696.12,3100
"CONYERS, JOHN JR.",DEM,183697.73,191838.22,49733.32
"COOK, PAUL",REP,978469.19,1409426.35,307735.41
"COOK, TAMARKUS",DEM,0,0,0
"COOLIDGE, LESLIE ANNE",DEM,0,0,0
"COONS, CHRISTOPHER A",DEM,761125.64,632598.01,531819.93
"COOPER, DAVE",DEM,39593.31,28841.84,20493
"COOPER, JAMES H.S.",DEM,559925.14,767123.33,200855.37
"COOPER, JOHN",REP,16271,16271,3559
"COPE, CLAY",REP,0,10930.7,0
"COPE, KENNETH CLIFFORD JR",REP,27064.32,27064.32,23803.91
"COPPOLA, SERGIO MR. II",DEM,5425.97,5425.97,2845.45
"CORBETT, ELLEN",DEM,0,0,0
"CORBIN-JOHNSON, SHAVONNIA",DEM,245856.38,234771.3,239856.38
"COREY, MATTHEW M MR",REP,0,15,0
"COREY, MATTHEW MCKINNON",REP,190461.61,173092.4,170543.61
"CORKER, ROBERT P JR",REP,2180001.39,2662398.93,1500099
"CORLEW, BOB",REP,1520974.91,1520974.91,20792
"CORNYN, JOHN",REP,4442539.56,1549054.11,1339642.69
"CORREA, JOSE",DEM,1135363.38,565364.85,401173.02
"CORTES BARRAGAN, RODOLFO",GRE,18313.47,18447.39,17452.26
"CORTNEY, MICHAEL JAMES",REP,7947,12885,0
"COSON, GARY LYNN",REP,534,372,0
"COSTA, DIANNE SALVAGNO",REP,0,0,0
"COSTA, JIM",DEM,1856797.6,2363583.43,778174.63
"COSTA, MICHAEL",IND,20565.43,20565.43,0
"COSTELLO, FREDRICK WILLIAM",REP,288014.38,283402.77,124425.38
"COSTELLO, JERRY F",DEM,5742.24,264241.9,0
"COSTELLO, REGIS J",IND,0,30.37,0
"COSTELLO, RYAN A",REP,1827502.39,1405117.54,559411.05
"COTHAM, PATRICIA A",DEM,0,1336,0
"COTTON, THOMAS",REP,2678691.66,851186.67,1083748.08
"COTTON, THOMAS",REP,2678691.66,851186.67,1083748.08
"COTTRELL, DANA",DEM,87600.24,87364.23,71923.91
"COURTNEY, JOSEPH D",DEM,1156318.91,1028800.15,491669.68
"COWEN, MARTIN LINDSEY MR. III",LIB,23441.51,23358.21,3326
"COX, CHRISTOPHER HON.",REP,8.25,4943.2,0
"COX, DAN",REP,78,13946.59,0
"COX, STEVE",IND,6125.65,6062.72,4837
"COX, STEVEN JEWELL ISOM",DEM,5339,5134,239
"COX, TERRANCE JOHN (TJ)",DEM,2975996.02,2921204.91,2025096.86
"COYNE, JOHN F III",DEM,421.46,475,0
"CRADDOCK, JAY GREGORY",DEM,75660,60939,5745
"CRAIG, ANGELA DAWN",DEM,5625310.67,5550422.43,3651405.33
"CRAIN, JO",GRE,6335.38,6049.82,235
"CRAMER, KEVIN MR.",REP,6031115.66,6231101.27,3721721.43
"CRAMER, KEVIN MR.",REP,6031115.66,6231101.27,3721721.43
"CRAMER, ROBERT E ""BUD"" JR",DEM,18231,140163.62,0
"CRAMER, THOMAS ALLEN",DEM,44823.4,37911.64,36245.5
"CRANE, MICHAEL ROBERT",REP,1000,3538.11,0
"CRAPO, MICHAEL D",REP,1777035.04,1085698.36,505377.5
"CRARY, JAMES ""JIM""",DEM,68778.3,71279.08,44956.3
"CRAWFORD, DENNIS P",DEM,23066,22958,22059
"CRAWFORD, DONALD L JR",REP,0.14,1810,0
"CRAWFORD, ERIC ALAN RICK",REP,1019464.16,966616.64,517326.61
"CRENSHAW, DANIEL",UNK,1865423.71,1844245.24,1489616.63
"CRIDER, MICHAEL R MR.",REP,69075,69075,57475
"CRIST, CHARLIE JOSEPH",DEM,3361938.76,1780937.57,2319943.75
"CROCHETIERE, BRUCE",REP,329036.95,312887.69,72092
"CROSSEY, MICHAEL J",DEM,36003.23,39547.23,15453.23
"CROW, JASON",DEM,5712546.74,5667236.29,4192539.46
"CROWE, DERRICK CHAD MR.",DEM,179456.03,179148.24,168947.91
"CROWLEY, JOSEPH",DEM,4007216.34,5119792.89,1119920.34
"CRUMPTON, RONALD (RON) STEVEN",DEM,4559,4983.6,4559
"CRUZ, ERIN",REP,32488,31795,31477
"CRUZ, RAFAEL EDWARD  TED",REP,35409076.68,39458809.82,29234222.19
"CRUZ, RAFAEL EDWARD ""TED""",REP,322839.63,324186.36,0
"CUBBLER, SCOTT RALSTON MR.",IND,32101.08,33859.1,6101.08
"CUELLAR, HENRY R.",DEM,1659081.5,1191861.58,515891.77
"CULBERSON, JOHN",REP,3504457.9,3542492.23,1477166.8
"CULLEN, JEFFREY",REP,24245,24339,0
"CULLOP, BENJAMIN NIEL",DEM,300321.4,300321.4,221602.48
"CULLUM, JOHN J",REP,109973.72,109963.67,7850
"CUMMINGS, DANIEL CLYDE",CON,300,485,100
"CUMMINGS, DAVE",REP,23262,17709.54,7222
"CUMMINGS, ELIJAH E",DEM,1072735.22,1141457.66,435404.37
"CUNNINGHAM, CAL",DEM,0,0,0
"CUNNINGHAM, HART P.",DEM,338684.66,338660.65,25
"CUNNINGHAM, JOE",DEM,2468862.54,2410274.65,2433342.96
"CUNNINGHAM, WILLIAM",DEM,78063.15,78062.57,72283.15
"CURBELO, CARLOS MR.",REP,5178884.51,5132355.79,1940317.83
"CURRY, DIANNE",DEM,0,0,0
"CURTIS , RON",REP,19925,19926,5285
"CURTIS, JOHN",REP,1628253.3,1463994.23,989483.04
"CURTIS, TOD",DEM,54630,54630,27130
"CUTRIGHT, JUDITH LYNN",IND,3150,3975.62,1150
"D'ALESSANDRO, PETE",DEM,372277.85,370050.51,346881.08
"D'ANNUNZIO, TIMOTHY BRUCE",REP,62.5,62.5,0
"D'SILVA, REUBEN",DEM,88033.43,69761.47,85170.22
"DACEY, SCOTT",REP,465025.6,460253.89,334238.7
"DADY, SARA",DEM,382450.38,397692.79,355808.31
"DAGNESSES, RAFAEL",REP,3241,3241,1741
"DAHLKE, JEFFERY J",IND,0,0,0
"DAHM, NATHAN",REP,142317,140882.95,131233.72
"DAILEY, FRED LEE",REP,0,270,0
"DAINES, STEVEN",REP,961862.18,437131.96,419146.72
"DALY, KAY MRS.",REP,0,0,0
"DANDRIDGE, JACQUES MR. JR",REP,5126,4194.71,1
"DARIUS, WADESON",DEM,43739.28,43739.28,4204.34
"DAS, ABHIJIT BEEJ",DEM,603485.25,426964.24,278350.69
"DAS, MONA",DEM,91647.69,91647.69,90528.7
"DASH, STACEY",REP,44730.13,44730.13,42234.13
"DAUGHERTY, RICHARD D",DEM,3926,4705.16,3926
"DAVID, DAN",REP,510412.7,508247.93,223730.39
"DAVID, STEVEN",DEM,34332.81,30263,32332.81
"DAVIDS, SHARICE",DEM,4860761.14,4852128.71,3996428.93
"DAVIDSON, DEMARCO KAUREEN",DEM,8637.68,8874.96,8067.68
"DAVIDSON, MARGO",DEM,62327.3,62327.3,60305
"DAVIDSON, ROBERT MICHAEL DR",DEM,1291787.06,1287490.28,1142405.45
"DAVIDSON, WARREN",REP,780309.34,661173.97,324911.58
"DAVIS, ADAM",GRE,1480,1273.71,855
"DAVIS, BRUCE EDWARD SR.",DEM,35890.58,6321.9,1325
"DAVIS, DANNY K",DEM,444796.06,551754.1,52486.39
"DAVIS, JOHN TIMOTHY",DEM,8524.4,8524.4,6924.4
"DAVIS, MELISSA",DEM,66192.42,66192.42,45092.42
"DAVIS, PATRICK",DEM,393987.79,386403.49,380687.59
"DAVIS, PAUL E",DEM,9240.73,8344.54,6610.93
"DAVIS, PAUL T.",DEM,3985402.56,3954361.15,2983326.41
"DAVIS, RICHMOND",REP,19278.86,17539.8,16820
"DAVIS, RODNEY L",REP,3638922.98,4016146.61,1053863.61
"DAVIS, SUSAN A",DEM,416936.84,466191.94,99926.6
"DAW, BRAD",REP,6823,6823,6823
"DAYTON, MARGARET",REP,57290,57290,52290
"DE  LA  FUENTE, ROQUE ROCKY",DEM,1410760.98,1440483.88,50
"DE LA FUENTE, RICARDO",DEM,176031.56,176023.33,20361
"DE LA FUENTE, RICARDO",DEM,74324.34,74324.34,0
"DE LA FUENTE, ROQUE ""ROCKY""",REP,45000,45000,0
"DE LA FUENTE, ROQUE ROCKY",REP,1410760.98,1440483.88,50
"DE LA FUENTE, ROQUE ROCKY",REP,15000,15000,0
"DE LA FUENTE, ROQUE ROCKY",REP,100000,47761.14,0
"DE LA TORRE, JOHN FARMER",DEM,23659.9,24682.05,23609.9
"DE LEON, KEVIN",DEM,1813506.59,1775218.37,1594165.04
"DE NEUFVILLE, PETER",REP,1316801.72,1300823.92,53100
"DE STEFANO, STEFANO",REP,595325,595324,83360
"DEACON, COLLEEN",DEM,267.92,4787.13,0
"DEAM, DIRK J",DEM,2583.26,2583.26,1583.26
"DEAN, HOWARD",DEM,68.03,-12685.64,0
"DEAN, MADELEINE",DEM,1432269.64,1287743.33,639695.56
"DEBONO, DAN",REP,454278.18,454227.34,411760.79
"DECILLIS, ALFRED MICHAEL",DEM,18421.4,24630.86,2378.57
"DEE, MICHAEL",IND,777.14,0,0
"DEEB, GREGORY PATRICK",REP,28962.85,29147.2,0
"DEEN, SAM ALAN",REP,79963.06,79963.06,74370
"DEFAZIO, PETER A",DEM,1791344.57,1388447.69,742170.17
"DEGETTE, DIANA L.",DEM,1263472.78,1210039.74,573467.8
"DEGROW, RICHIE",DEM,6076.13,6068.13,4803
"DEL ROSSO, MICHAEL JOSEPH MR.",REP,1532.78,1537.78,1532.78
"DELANEY, JOHN K",DEM,6145779.44,5899574.2,1276485.27
"DELANEY, JOHN K.",DEM,6145779.44,5899574.2,1276485.27
"DELAURO, ROSA L",DEM,1305046.52,1303898.64,702376.52
"DELBENE, SUZAN K",DEM,2110820.42,1558467.49,987421.06
"DELGADO, ANTONIO",DEM,9244751.44,9166151,8143823.14
"DELLA PIA, MAX HAROLD",DEM,191000.8,191096.55,159529.14
"DEMAIO, CARL",REP,961.65,14169.12,0
"DEMAPAN, ANGEL ALDAN",REP,88863.15,88022.75,88863.15
"DEMARCO, ADAM 1985",DEM,18026,20823,14026
"DEMAREE, ANGELA JO",DEM,0,468.21,0
"DEMARTINI, FRANK",REP,39192.04,39192.04,34902.79
"DEMINGS, VALDEZ VAL",DEM,838814.13,843279.49,246090.06
"DEMOS, GEORGE",REP,0,9.17,0
"DENHAM, JEFF",REP,4911908.8,4932044.09,1779273.65
"DENNEY, AUDREY",DEM,1097584.95,1097092.46,1051203.75
"DENNIS, JOHN",REP,1.78,11009.37,0
"DENT, CHARLES WIEDER",REP,591477.29,632067.6,202561
"DEPIZZO, CHRIS",REP,93796.25,91710.9,87116.25
"DERLET, ROBERT WAYNE",DEM,336,14977.35,186
"DERRICK, WILLIAM MIKE",DEM,349.62,7759.54,0
"DESAI, CHINTAN",DEM,137153.22,137153.22,120235.13
"DESANTIS, RONALD D.",REP,211748.62,1921847.68,136614.02
"DESAULNIER, MARK",DEM,576041.93,489011.76,229849.79
"DESHEFY, GREGORY SCOTT",GRE,0,0,0
"DESJADON, MICHAEL",REP,57074.9,57074.9,39175
"DESJARLAIS, SCOTT HON.",REP,544684.66,271735.43,327466.01
"DETERS, BRIAN",DEM,20583.09,19770.32,19566.49
"DETORA, ANTHONY",REP,0,0,0
"DEUTCH, THEODORE ELIOT",DEM,1305988.06,1274589.63,932395.42
"DEVITO, MICHAEL JR",DEM,47679.77,47679.77,47679.77
"DEVOR, THOMAS CHRISTIAN MR.",REP,0,0,0
"DEWITT, JUSTIN",DEM,36983.65,30959.13,36483.65
"DIANGELO, CRAIG",REP,13028.72,13254.8,7538.72
"DIAZ-BALART, MARIO",REP,2295610.15,2639188.44,951207
"DIAZ, MINERVA DR",REP,10746,10745,1266
"DIBBLE, SCOTT",DEM,14519,14503.41,14519
"DICKERSON, JOHN MARTIN",DEM,3978,4419,0
"DIEGEL, CHRISTIAN",REP,18146,10036,13048
"DIEHL, GEOFF",REP,3025033.56,3015368.23,2989978.56
"DIFFENDAL, JENNIFER",DEM,4774,4774,66
"DIGANVKER, JITENDRA JD",REP,54519.77,51858.55,54519.77
"DIGHTMAN, DOUGLAS",REP,46610,42423.04,2610
"DIKEMAN, NEAL MONROE",LIB,33731.92,33397.65,31273.15
"DILAN, ERIK MARTIN",DEM,0,28840.14,0
"DILKS, PAUL E",REP,13998,13985.83,10898
"DILLEY, BRENDEN",REP,47018.77,47014.81,47016.09
"DIMASI, ELAINE DR. PHD",DEM,104203.6,100540.89,83929.11
"DINGE, DENNIS",DEM,35993.63,35993.63,12776
"DINGELL, DEBBIE",DEM,1296511.74,1251033.73,541260.25
"DINICOLA, RONALD A. MR.",DEM,1757650.35,1755514.26,1234235.15
"DISANTO, DELINA",DEM,28226.07,19661.88,7443.04
"DITTMAR, JANE DESIMONE",DEM,2.66,33823.65,0
"DIXON, THOMAS ALAN",DEM,0.06,602,0
"DJOU, CHARLES K",REP,0,0,0
"DODD, CHRISTOPHER J",DEM,335,58656.42,0
"DODD, DOUG",DEM,0,0,0
"DODSON, DAVID",REP,2101897.77,2101897.48,408224
"DOGGETT, LLOYD",DEM,1125596.19,513675.72,567009.4
"DOHENY, MATTHEW A",REP,0,100.5,0
"DOHERTY, GRANT",UNK,0,0,0
"DOLD, ROBERT JAMES JR",REP,52692.19,36660.32,100
"DOLE, ELIZABETH",REP,0,0,0
"DOMANIK, DARLENE MARIA JD",DEM,14919.51,14919.51,14373.51
"DOMINO, CARL J",REP,0,6592.26,0
"DONAHUE, ALICIA",DFL,1771.25,1590.11,1771.25
"DONALDSON, SCOTT",DEM,63006,63005.68,59905
"DONNELLY, JOSEPH S",DEM,14585917.72,15800916.06,10595662.29
"DONNELLY, TIMOTHY M.",REP,276438.37,275611.46,234387.38
"DONOVAN, DAN",REP,2605455.11,2694356.32,1469116.88
"DORGAN, BYRON L",DEM,383.05,55033.84,0
"DOSEV, CRIS",REP,220974.58,218482.68,83156
"DOTSON, DAVID L",LIB,0,0,0
"DOTSON, HOWARD R MR.",DEM,0,0,0
"DOTY, SALLY",REP,122192.2,109143.21,93890.06
"DOUGLAS, AMANDA",DEM,11474.83,11234.11,11343.97
"DOUGLAS, PATRICE",REP,0,2193.73,0
"DOUGLASS, JOHN WADE",DEM,0,4067.65,0
"DOVE, JEFFERY ANTHONY MR. JR.",REP,677906.55,657964.85,602760.22
"DOWLING, SANDRA ELAINE DR",REP,12543.12,12543.12,12543.12
"DOWNING, TROY",REP,1495357,1484804,388890
"DOYLE, COLIN B",IND,0,0,0
"DOYLE, MARGE",DEM,421369.75,395128.01,399748.08
"DOYLE, MICHAEL",DEM,902455.07,862104.83,177730.03
"DRAKE, RON",DEM,1108,1566,0
"DRISKELL, GRETCHEN",DEM,2719885.42,2711006.54,2045094.1
"DRUMMER, DEMOND",DEM,0,0,0
