subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,11/19/2021,10/19/2021,10/21/2021,YouGov,B+,1704,a,0.34313879,0.28143681,37,32,36.697952,35.096474,NA,NA,https://docs.cdn.yougov.com/4i6a6olite/20211021_yahoo_vaccine_tabs.pdf,77029,146803,10/25/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/18/2021,10/22/2021,Marist College,A,1032,rv,1.2914647,1.0770252,44,41,42.998547,42.012487,NA,NA,https://maristpoll.marist.edu/polls/npr-pbs-newshour-marist-national-poll-trust-in-elections-threat-to-democracy-biden-approval-november-2021/,77150,148810,11/1/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/22/2021,10/24/2021,Morning Consult,B,1999,rv,0.30958663,0.26256077,44,42,43.358545,42.472918,NA,NA,https://assets.morningconsult.com/wp-uploads/2021/10/27074729/2110134_crosstabs_POLITICO_RVs_v2_SH.pdf,77048,148597,10/27/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/20/2021,10/26/2021,Echelon Insights,B/C,1600,rv,0.58412149,0.49413123,43,43,40.67855,42.242034,NA,NA,https://electioninnovation.org/research/nov-2021-election-integrity-survey/data/,77741,150159,11/18/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/24/2021,10/26/2021,YouGov,B+,1261,rv,0.31604458,0.27006032,44,38,43.697952,41.096474,NA,NA,https://docs.cdn.yougov.com/qwffht37bk/econTabReport.pdf,77050,148624,10/27/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/23/2021,10/26/2021,NBC News,B+,820,rv,0.84955468,0.73384482,47,45,45.48448,43.901431,NA,NA,https://www.nbcnews.com/politics/meet-the-press/biden-s-job-rating-sinks-42-percent-nbc-news-poll-n1282781,77149,148793,10/31/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/27/2021,10/28/2021,Harris Poll,B+,1688,rv,1.3788642,1.2219805,42,45,42.080929,43.954376,NA,NA,https://harvardharrispoll.com/wp-content/uploads/2021/11/HHP_October2021_Crosstabs.pdf,77168,148899,11/3/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/28/2021,10/30/2021,RMG Research,B-,1200,rv,0.60253625,0.53083561,40,41,41.50089,41.855092,NA,NA,https://scottrasmussen.com/generic-ballot-gop-41-dems-40/,77482,149672,11/9/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/29/2021,11/1/2021,Morning Consult,B,1996,rv,0.32606325,0.29334587,42,42,41.358545,42.472918,NA,NA,https://assets.morningconsult.com/wp-uploads/2021/11/02070634/2110196_crosstabs_POLITICO_RVs_v1_LM.pdf,77166,148835,11/2/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,10/30/2021,11/2/2021,YouGov,B+,1303,rv,0.34028304,0.3071436,44,37,43.697952,40.096474,NA,NA,https://docs.cdn.yougov.com/7ylf58dsj9/econTabReport.pdf,77170,148863,11/3/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,11/1/2021,11/4/2021,CNN/SSRS,C,859,rv,0.70732597,0.65061833,49,44,47.215371,43.041559,NA,NA,https://www.cnn.com/2021/11/08/politics/cnn-poll-biden-job-approval/index.html,77478,149651,11/8/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,11/3/2021,11/5/2021,Suffolk University,B+,1000,rv,1.2787331,1.1898219,37.7,45.9,39.293202,44.615948,NA,NA,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2021/11_8_2021_marginals.pdf?la=en&hash=1794FE2E578E79ED2EFC35B6E8DAC2C44B8B06CD,77474,149542,11/7/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,11/3/2021,11/4/2021,Emerson College,A-,1000,rv,1.3247582,1.2326468,42,48.7,42.027571,46.396468,NA,NA,https://emersonpolling.reportablenews.com/pr/november-2021-national-poll-biden-job-approval-drops-again,77425,149367,11/5/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,11/1/2021,11/9/2021,Susquehanna Polling & Research Inc.,B+,800,lv,1.099399,1.0284379,32,29,35.426015,32.477059,NA,NA,https://thefederalist.com/2021/11/10/new-fdrlst-susquehanna-poll-shows-bidens-approval-sliding-to-36-percent-widespread-disapproval-of-critical-race-theory/,77497,149746,11/10/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,11/5/2021,11/7/2021,Morning Consult,B,1998,rv,0.34416919,0.32318065,44,42,43.358545,42.472918,NA,NA,https://assets.morningconsult.com/wp-uploads/2021/11/10105627/2111037_crosstabs_POLITICO_RVs_v1_CC.pdf,77485,149692,11/10/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,11/4/2021,11/8/2021,YouGov,B+,1673,a,0.39468927,0.36988719,36,33,35.697952,36.096474,NA,NA,https://docs.cdn.yougov.com/8yndiqueok/20211108_yahoo_vaccine_tabs%20%282%29.pdf,77487,149721,11/10/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,11/6/2021,11/9/2021,YouGov,B+,1258,rv,0.35997524,0.34234597,44,37,43.697952,40.096474,NA,NA,https://docs.cdn.yougov.com/87gqotkd1s/econTabReport.pdf,77486,149712,11/10/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,11/7/2021,11/10/2021,ABC News/The Washington Post,A+,882,rv,1.4758005,1.4198296,41,51,41.366021,47.924564,NA,NA,https://www.washingtonpost.com/context/nov-7-10-2021-washington-post-abc-news-poll/160508a9-cea2-4433-92c8-6dc51838721e/?itid=lk_inline_manual_2,77530,149830,11/14/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,11/8/2021,11/11/2021,Rasmussen Reports/Pulse Opinion Research,B,2500,lv,1.4634133,1.4171623,38,51,39.563177,47.674773,NA,NA,https://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot_nov16,77676,150009,11/16/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,11/11/2021,11/15/2021,Quinnipiac University,A-,1262,rv,1.1211292,1.1061818,41,46,39.754974,44.505672,NA,NA,https://poll.qu.edu/poll-release?releaseid=3827,77733,150118,11/18/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,11/11/2021,11/16/2021,McLaughlin & Associates,C/D,1000,lv,0.42151584,0.4186274,44,48,42.457303,44.184259,NA,NA,https://mclaughlinonline.com/pols/wp-content/uploads/2021/11/National-Monthly-November-Release-1.pdf,77791,150344,11/19/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,11/13/2021,11/15/2021,Morning Consult,B,1998,rv,0.37554254,0.37294903,43,43,42.358545,43.472918,NA,NA,https://assets.morningconsult.com/wp-uploads/2021/11/17072513/2111084_crosstabs_POLITICO_RVs_v1_SH.pdf,77677,150010,11/17/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,11/12/2021,11/18/2021,Echelon Insights,B/C,839,lv,0.53379803,0.53379803,49,44,46.67855,43.242034,NA,NA,https://echeloninsights.com/in-the-news/november-omnibus-politics/,77792,150346,11/19/2021,14:56:06 19 Nov 2021
All polls,11/19/2021,11/14/2021,11/16/2021,YouGov,B+,1299,rv,0.39794869,0.39794869,42,38,41.697952,41.096474,NA,NA,https://docs.cdn.yougov.com/anoy7rtkl2/econTabReport.pdf,77678,150040,11/17/2021,14:56:06 19 Nov 2021
